# oracle_dump ckpt=models/tarski_pcb_v7_hw_otheta062_ft.json dac_scale=1.16 num_steps=25 hidden_theta=1.0577V output_theta=0.6200V quant_bits=None input_quant_bits=0 dac_max=inf img=6x6
# columns: idx,label,argmax,match,counts[0..10],fc1
0,7,7,Y,[0, 0, 0, 3, 0, 0, 0, 10, 0, 0],[0.361, 2.624, 0.726, 2.186, 1.016, 1.063, 3.112, 1.334, 1.811]
1,2,2,Y,[0, 0, 12, 0, 0, 0, 0, 0, 0, 0],[0.206, 1.332, 4.889, 1.286, 1.604, 0.709, 0.307, 0.526, 0.88]
2,1,1,Y,[0, 8, 0, 0, 0, 0, 0, 0, 0, 0],[1.486, 0.591, 1.178, 1.92, 0.782, 1.336, 0.827, 0.865, 1.522]
3,0,0,Y,[12, 0, 0, 0, 0, 8, 0, 4, 0, 0],[2.816, 1.848, 3.293, 0.714, 2.369, 2.23, 3.072, 3.064, 2.502]
4,4,4,Y,[0, 0, 0, 0, 12, 0, 0, 0, 0, 8],[2.417, 0.348, 0.839, 1.93, 1.812, 2.078, 2.224, 0.462, 0.566]
5,1,1,Y,[0, 9, 0, 0, 0, 0, 0, 0, 0, 0],[1.399, 1.037, 1.017, 2.154, 0.528, 1.221, 1.009, 0.717, 1.759]
6,4,4,Y,[0, 0, 0, 0, 3, 0, 0, 1, 0, 0],[1.437, 0.407, 0.565, 2.133, 0.564, 2.522, 2.967, 1.085, 0.932]
7,9,9,Y,[0, 0, 0, 0, 6, 0, 0, 0, 0, 6],[2.547, 0.952, 0.682, 2.132, 0.008, 2.022, 1.557, -0.693, -0.919]
8,5,6,N,[0, 0, 0, 0, 0, 0, 8, 0, 0, 0],[2.547, -0.647, 1.665, 0.214, 1.974, 1.879, 1.865, 0.165, 0.906]
9,9,9,Y,[4, 0, 0, 0, 4, 0, 0, 12, 0, 12],[2.449, 1.89, 0.509, 2.24, 1.429, 2.77, 3.683, 0.817, 1.178]
10,0,0,Y,[8, 0, 0, 0, 0, 0, 0, 0, 0, 0],[0.507, 2.447, 3.274, 0.309, 2.128, 1.213, 2.938, 2.575, 2.623]
11,6,6,Y,[6, 0, 8, 0, 0, 0, 8, 0, 0, 0],[2.183, 0.545, 2.524, 1.891, 2.121, 1.947, 1.828, 1.563, 1.298]
12,9,9,Y,[0, 0, 0, 0, 7, 0, 0, 4, 0, 12],[2.365, 1.305, 0.636, 1.939, 1.135, 2.123, 2.728, 0.034, 1.002]
13,0,0,Y,[12, 0, 0, 0, 0, 8, 0, 4, 0, 0],[2.125, 3.019, 2.455, 0.002, 2.276, 1.703, 3.204, 1.965, 2.561]
14,1,1,Y,[0, 8, 0, 0, 0, 0, 0, 0, 0, 0],[1.775, 0.836, 1.402, 2.101, 0.62, 1.265, 1.397, 0.864, 1.503]
15,5,5,Y,[0, 0, 0, 0, 0, 8, 0, 0, 0, 0],[0.657, 1.767, 2.872, 0.881, 0.393, 1.417, 2.3, 1.866, 0.722]
16,9,9,Y,[6, 0, 0, 0, 6, 0, 0, 6, 0, 12],[2.093, 1.374, 0.285, 2.079, 1.822, 2.068, 2.365, 0.361, 1.339]
17,7,7,Y,[0, 0, 0, 8, 0, 0, 0, 12, 0, 0],[0.175, 2.76, 0.893, 2.389, 1.044, 0.896, 3.311, 1.95, 1.668]
18,3,9,N,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],[0.766, 0.708, 2.544, 1.876, 0.407, 1.828, 1.513, 1.453, -0.808]
19,4,4,Y,[0, 0, 0, 0, 8, 0, 0, 0, 0, 0],[2.567, 0.258, 0.35, 1.937, 0.871, 1.933, 2.147, 0.358, 0.53]
20,9,7,N,[0, 0, 0, 0, 0, 0, 0, 12, 0, 10],[2.384, 1.732, 0.567, 2.187, 0.306, 2.24, 3.675, 1.104, 1.566]
21,6,6,Y,[0, 0, 4, 0, 0, 0, 8, 0, 0, 0],[2.212, -0.049, 2.521, 1.523, 1.031, 2.129, 1.385, 0.467, -0.333]
22,6,6,Y,[0, 0, 4, 0, 4, 0, 8, 0, 0, 0],[2.153, -0.154, 1.456, 2.629, 1.729, 1.896, 1.699, 1.252, 0.45]
23,5,5,Y,[0, 0, 0, 0, 0, 8, 0, 0, 4, 0],[1.443, 1.105, 1.986, 0.61, 0.711, 1.475, 1.982, 0.687, 1.179]
24,4,4,Y,[0, 0, 0, 0, 6, 0, 0, 0, 0, 0],[2.37, 0.631, 0.386, 1.802, 0.808, 1.678, 1.578, 0.495, 0.75]
25,0,0,Y,[12, 0, 0, 0, 0, 4, 4, 0, 0, 0],[2.478, 0.879, 3.77, -0.954, 3.204, 2.937, 3.732, 3.24, 2.03]
26,7,7,Y,[0, 0, 0, 0, 0, 0, 0, 12, 0, 9],[1.972, 1.614, 0.526, 1.78, 0.466, 1.835, 2.718, 1.371, 1.711]
27,4,4,Y,[0, 0, 0, 0, 12, 0, 0, 0, 0, 6],[2.623, 0.375, 0.569, 1.855, 1.546, 2.318, 2.356, 0.102, 0.319]
28,0,0,Y,[12, 0, 0, 0, 0, 0, 0, 0, 0, 0],[1.191, 3.223, 3.399, 0.57, 2.426, 1.269, 2.835, 2.319, 3.476]
29,1,1,Y,[0, 8, 0, 0, 0, 0, 0, 0, 0, 0],[1.813, 0.718, 1.333, 1.603, 0.731, 1.507, 1.523, 0.883, 1.272]
30,3,3,Y,[0, 0, 0, 9, 0, 0, 0, 6, 0, 0],[1.046, 2.369, 1.28, 2.016, 0.143, 0.965, 2.4, 1.558, 1.142]
31,1,1,Y,[0, 8, 0, 0, 3, 0, 0, 0, 0, 0],[1.682, 0.81, 0.839, 1.915, 0.57, 1.242, 1.6, 0.855, 1.463]
32,3,3,Y,[0, 0, 0, 9, 0, 0, 0, 0, 7, 0],[0.9, 2.555, 2.094, 1.775, 0.389, 0.993, 2.604, 0.161, 0.131]
33,4,6,N,[0, 0, 0, 0, 0, 0, 8, 0, 0, 0],[2.666, -0.074, 1.879, -0.446, 2.229, 2.249, 2.125, 0.931, 0.61]
34,7,7,Y,[0, 0, 0, 1, 0, 0, 0, 8, 0, 0],[-0.595, 2.543, 0.747, 2.432, 1.29, 1.039, 1.934, 0.942, 2.204]
35,2,2,Y,[8, 0, 12, 4, 0, 0, 0, 4, 0, 0],[-1.457, 1.672, 3.87, 1.689, 1.673, 1.142, 1.429, 1.664, 1.661]
36,7,7,Y,[0, 0, 0, 1, 0, 0, 0, 12, 0, 0],[0.656, 1.715, 0.954, 2.088, 1.047, 1.613, 2.598, 1.474, 1.5]
37,1,1,Y,[0, 9, 0, 0, 0, 0, 0, 0, 0, 0],[1.671, 0.841, 1.056, 1.858, 0.578, 1.487, 1.499, 0.658, 1.417]
38,2,2,Y,[0, 0, 12, 0, 0, 0, 0, 0, 0, 0],[0.567, 1.723, 3.148, 1.257, 1.234, 0.903, 0.71, 1.418, 1.917]
39,1,1,Y,[0, 12, 0, 3, 0, 0, 0, 0, 4, 0],[1.975, 1.035, 1.669, 1.861, 0.665, 1.488, 1.308, 0.613, 1.667]
40,1,1,Y,[0, 8, 0, 0, 0, 0, 0, 0, 0, 0],[1.632, 0.752, 0.954, 1.787, 0.816, 1.171, 1.053, 0.965, 1.499]
41,7,9,N,[0, 0, 0, 6, 0, 0, 0, 6, 0, 8],[1.655, 1.733, 0.791, 2.047, 0.453, 1.461, 2.391, 0.979, 0.797]
42,4,4,Y,[0, 0, 0, 0, 8, 0, 0, 0, 0, 0],[1.629, 0.463, -0.037, 2.839, 0.442, 2.251, 2.448, -0.079, 0.409]
43,2,2,Y,[0, 0, 6, 0, 0, 0, 0, 0, 0, 0],[1.359, 1.166, 1.724, 1.521, 0.986, 1.108, 0.533, 0.566, 0.831]
44,3,3,Y,[0, 0, 0, 2, 0, 0, 0, 0, 0, 0],[1.193, 0.957, 1.378, 1.977, 0.742, 1.475, 1.424, 1.184, 0.834]
45,5,5,Y,[2, 0, 0, 6, 0, 8, 0, 0, 0, 0],[1.417, 1.666, 2.427, 1.051, 0.536, 1.346, 2.276, 1.236, 1.436]
46,1,3,N,[0, 0, 0, 7, 0, 0, 0, 0, 0, 0],[1.624, 1.056, 1.583, 2.222, 0.518, 1.183, 1.778, 0.303, 0.587]
47,2,2,Y,[0, 0, 12, 0, 0, 0, 0, 0, 0, 0],[1.621, 0.401, 2.397, 2.34, 1.382, 0.792, 0.905, 0.382, 0.496]
48,4,4,Y,[0, 0, 0, 0, 8, 0, 0, 0, 0, 4],[2.54, 0.914, 0.777, 2.296, 0.919, 2.831, 3.967, -0.01, 0.4]
49,4,4,Y,[0, 0, 0, 0, 12, 0, 0, 0, 0, 8],[2.24, 0.457, 0.493, 2.615, 1.879, 2.037, 2.424, 0.329, -0.406]
# SAMPLE_ACC=88.00% (44/50) nonzero_count_rows=49/50
